YYYYMM,SMALL LoAC,ME1 AC2,ME1 AC3,ME1 AC4,SMALL HiAC,ME2 AC1,ME2 AC2,ME2 AC3,ME2 AC4,ME2 AC5,ME3 AC1,ME3 AC2,ME3 AC3,ME3 AC4,ME3 AC5,ME4 AC1,ME4 AC2,ME4 AC3,ME4 AC4,ME4 AC5,BIG LoAC,ME5 AC2,ME5 AC3,ME5 AC4,BIG HiAC
197111,-4.9064,-5.1115,-4.2069,-4.2327,-4.577,-3.1479,-0.1657,-1.0131,-4.4815,-2.3938,-1.4106,-1.2067,-1.4683,-1.6819,-4.0407,0.7971,-2.3416,-3.3511,-0.5207,-1.0609,-0.2417,0.5476,0.7716,1.3786,0.2928
197112,14.08,12.3606,10.7868,13.8482,13.8703,15.8852,12.4574,14.7,13.3088,12.3604,12.4656,11.4105,10.9851,13.0453,12.238,10.6967,10.3769,11.1574,11.5657,12.2031,9.1155,8.0896,8.878,9.2215,8.4438
197201,15.3502,12.6597,11.4751,10.9567,12.4393,8.6605,7.8388,14.0359,6.1801,6.9582,7.3652,3.907,5.965,3.6068,8.5472,2.1706,3.0641,4.2015,1.9834,7.3075,2.2873,2.6333,1.2059,2.3155,2.288
197202,3.8258,4.4869,3.7773,3.4206,5.1733,4.8152,7.1602,1.4969,3.2541,4.8369,2.6962,3.681,3.7905,5.188,4.4201,4.3353,2.7914,4.4162,3.8493,2.397,5.0082,0.9177,5.354,3.7642,4.6987
197203,-0.7716,-0.0747,-0.141,0.9725,-1.3646,-2.4388,-1.0954,1.7963,1.3959,1.7458,1.1148,1.6147,0.261,4.1579,1.0717,-0.9556,0.5784,1.5842,-0.7041,1.6493,-1.9675,0.8263,0.9392,1.6739,0.1962
197204,0.4925,1.0436,0.7566,-1.531,0.2263,2.4336,2.4681,0.6136,0.7178,0.9891,0.3283,-0.3259,-0.1521,-0.487,3.2589,-2.0995,2.391,0.9653,0.8219,0.0995,0.977,-0.2147,0.3024,2.3293,2.1911
197205,-2.0405,-1.899,-1.932,-1.5641,-3.6251,-1.6388,-1.2362,-1.8842,-2.8087,-0.5925,0.2057,-1.7969,1.1593,1.2431,-1.6991,0.3825,-0.6056,2.093,1.1315,2.317,1.1848,1.44,3.915,1.8487,3.9448
197206,-2.966,-3.9724,-2.6636,-5.1624,-4.2542,0.821,-1.5296,-5.0015,-2.8503,-3.427,-2.0749,-2.1661,-6.1753,-2.7563,-0.8316,-6.3951,-5.9066,-3.5706,-4.2822,-3.3315,-3.8267,-2.0637,-1.3522,-0.4151,-0.8549
197207,-3.5406,-3.2323,-4.6303,-3.1847,-5.3242,-5.5537,-5.4174,-2.9723,-4.4848,-2.77,-4.5081,-2.403,-3.1672,-0.4443,-4.1104,-1.3583,-4.6164,-2.3025,-1.9579,-6.2764,-3.1727,0.6591,0.9324,1.0939,0.0383
197208,-0.744,0.9354,1.2847,3.2757,-2.0914,-1.3128,1.991,1.1155,-0.2613,1.6526,3.4484,3.5592,2.8168,2.4295,-0.8005,1.8998,3.1215,4.4837,1.8022,0.0795,4.4751,3.5078,4.7905,2.2744,1.6249
197209,-4.7667,-4.1732,-4.8027,-4.0147,-4.5577,-3.7046,-2.6053,-5.8457,-3.4396,-2.4645,-2.6502,-3.9624,-2.1315,-1.7781,-0.4864,-3.0397,-3.4455,-2.91,-2.1299,-3.2413,-1.4889,-0.9976,0.9058,-0.3888,-1.2935
197210,-2.7305,-3.3827,-2.3472,-3.3392,-3.2635,-1.6051,-1.6119,-2.4839,0.4379,-0.8241,-0.5183,-0.7781,-0.9189,-1.6398,-3.6192,-0.8681,0.3336,-0.6448,-1.9075,-2.345,-1.3131,-0.7713,1.9757,3.2864,0.4805
197211,6.0364,3.0434,5.9949,5.3455,3.2084,5.6685,4.474,5.5937,6.824,5.727,8.1641,6.2187,5.9447,4.9278,2.1463,7.8979,9.3338,8.3291,6.3249,8.3863,7.9863,4.0475,4.3417,3.0273,5.875
197212,-1.9077,-2.2217,-2.2408,0.6553,-3.4983,-3.6043,-3.362,-3.1566,0.2958,-0.165,-1.1959,-0.0471,-1.2396,-0.0386,1.3079,0.4447,-1.3165,-1.0481,-1.6088,-1.7338,-0.8313,2.6375,1.8946,3.2265,0.9566
197301,-2.0337,-2.712,-2.5187,-2.3513,-6.0571,-7.2672,-5.0226,-4.4243,-7.0894,-8.2454,-7.0571,-6.0915,-6.1687,-6.8294,-7.6927,-10.4193,-4.234,-5.8645,-6.0289,-3.8865,-5.5078,0.2205,0.2218,-2.4781,-5.4488
197302,-9.7724,-5.8054,-8.5541,-8.2303,-8.9842,-8.171,-8.6536,-9.2705,-6.1269,-10.1647,-7.5015,-7.1743,-11.1068,-8.5172,-8.2225,-6.3007,-5.3594,-5.7065,-7.3917,-8.4081,-5.0576,-2.73,-4.1698,-1.3047,-4.1174
197303,-1.3589,-2.9517,-2.9482,-3.3328,-3.3292,-2.5916,-3.855,-2.7055,-1.6478,-1.1558,-2.721,-2.0321,-2.0943,-2.8944,-7.3383,-5.0312,-1.7566,-1.9704,-4.8091,-2.1437,-1.9575,0.5577,1.3998,-1.1587,-2.7064
197304,-9.1146,-4.9521,-6.2227,-5.3037,-8.2065,-6.9422,-7.2268,-5.8052,-7.696,-9.8291,-6.2209,-6.3969,-6.3604,-6.1601,-9.5014,-8.6999,-6.072,-6.247,-5.9598,-11.1773,-3.8404,-5.196,-2.5087,-4.2587,-8.6483
197305,-8.3753,-8.4052,-9.1712,-8.4982,-10.4386,-9.6875,-9.151,-11.4615,-7.7345,-9.726,-8.4622,-6.7796,-8.2232,-5.5962,-9.6101,-5.8176,-5.6581,-5.5894,-6.313,-6.5571,-4.0151,-1.1394,-1.012,0.6117,-2.1111
197306,-1.5631,-3.333,-4.6102,-3.506,-5.0121,-3.5878,-2.946,-1.3765,-4.0251,-4.8479,-3.301,-4.5599,-3.6282,-2.5424,-5.3914,-5.3038,-1.8106,-3.0545,-5.8417,-3.8749,-1.3513,-1.0427,0.2947,-0.5897,-1.2611
197307,14.9218,13.6899,11.9962,13.2982,16.1653,11.2219,14.8585,13.9156,14.1142,15.4323,14.9585,12.8754,8.2319,13.3468,16.6309,14.3325,11.2607,10.8561,9.8958,16.659,7.717,1.9148,3.3649,9.6238,4.6309
197308,-5.1374,-4.0284,-6.1824,-5.3689,-6.708,-4.5179,-4.3331,-3.677,-6.1378,-4.9722,-2.8026,-2.9825,-3.608,-2.193,-2.7597,-0.9599,-3.5649,-3.9544,-1.38,0.1272,-1.6288,-3.9797,-3.2636,-4.0473,-2.6989
197309,9.8727,7.7645,9.1923,10.2716,8.9505,10.0293,7.2539,9.726,12.0287,13.7554,13.7332,10.6166,10.6287,9.8536,12.582,11.3796,12.4956,11.7413,8.1215,13.3439,8.7693,1.8489,2.4828,7.0982,5.4741
197310,2.8813,2.3668,0.3727,-0.0133,-2.201,1.1923,2.5918,1.664,-3.6173,-1.8242,-0.5172,1.8254,1.2806,-1.9781,-0.7871,1.1933,1.0742,-0.8129,-1.1511,-2.1759,2.2214,1.3434,-0.2864,0.2054,-5.6825
197311,-19.4921,-17.3109,-17.1995,-19.8069,-22.5419,-20.6926,-16.5383,-16.8986,-21.2658,-21.9416,-25.2812,-16.8854,-15.6739,-20.8917,-22.2356,-15.4121,-18.3221,-18.561,-16.3693,-21.5164,-14.1456,-7.5021,-11.5318,-9.9936,-16.459
197312,-2.5643,-1.0341,-3.0627,-3.5433,-5.6821,-0.2208,-1.7209,-0.3439,-4.465,-1.6174,1.8401,0.2518,0.7473,0.4835,-0.065,3.4485,4.6023,2.9114,0.3116,2.8501,3.7772,2.2111,0.4125,-1.1125,-2.268
197401,14.5577,13.5907,14.6729,13.9916,15.0902,11.8245,10.9224,10.1312,10.4698,5.4384,9.6556,4.2355,6.587,7.8135,7.2669,4.7167,1.9687,1.7679,0.7341,1.7987,-3.0829,-2.4399,-1.8752,-0.9639,7.5705
197402,0.5845,-0.249,-0.2791,0.3491,-0.1979,0.9386,0.4302,1.5405,0.5889,2.0749,2.5606,0.7892,0.8538,-0.7904,-1.0743,1.8058,1.2713,0.5978,-2.1423,0.7028,1.4856,0.4284,-1.2451,-0.1426,0.5113
197403,1.2871,-0.0813,1.7817,0.1275,0.3042,-0.5397,2.019,-0.3538,0.0854,-0.6615,-0.1933,-1.3835,-1.5404,-0.8296,-2.6443,-3.6772,-3.3407,-0.252,-1.8755,-5.0854,-3.226,-2.0284,-1.0317,-3.1666,-3.8954
197404,-4.8363,-5.5518,-3.6619,-5.6863,-5.0727,-4.558,-4.1835,-5.3316,-4.5539,-5.9467,-5.4394,-4.1324,-2.991,-7.3292,-3.6835,-4.5125,-5.4309,-4.566,-6.4219,-5.2522,-4.1588,-3.5308,-3.1882,-2.6961,-2.2056
197405,-7.3288,-5.9676,-7.2436,-6.6825,-7.9625,-6.1084,-7.8105,-7.014,-7.8112,-7.6139,-7.7324,-7.4946,-6.7388,-6.3606,-7.8152,-7.7666,-5.5069,-6.5849,-5.1893,-6.3967,-4.2923,-3.7821,0.0801,-1.3996,4.42
197406,-1.7204,-1.1514,-0.3641,-2.2825,-4.0971,-2.3096,-2.226,-0.6562,-2.485,-1.94,-1.0638,-1.4532,-0.154,-2.4732,-4.4507,-1.9714,-2.4166,-1.332,-1.758,-3.8656,-0.9992,-0.5022,-0.803,-0.5976,-3.3787
197407,-5.3006,-3.5618,-5.7835,-4.3031,-6.584,-3.8885,-2.7798,-4.3706,-3.6267,-6.3935,-1.5446,-2.3943,-2.2376,-4.8985,-7.8918,-3.6132,-4.6268,-7.1221,-8.4811,-8.807,-1.4736,-7.4256,-10.8692,-14.021,-11.7474
197408,-6.4988,-6.2658,-6.0101,-7.6708,-9.0578,-6.7706,-7.3684,-8.4484,-8.6153,-8.7864,-4.5345,-8.0681,-8.109,-10.918,-10.5425,-7.1113,-8.5052,-11.1425,-8.6299,-11.6907,-8.6018,-7.0574,-8.2635,-10.8253,-8.0444
197409,-8.3206,-8.4071,-7.5488,-8.087,-10.2764,-7.2548,-8.5628,-10.3575,-6.4335,-11.6392,-9.3719,-6.4164,-7.5643,-9.1476,-16.4029,-8.2864,-9.3309,-11.0348,-8.7434,-12.0975,-11.4514,-11.8254,-11.5852,-14.991,-18.3573
197410,9.5272,9.3474,9.4942,10.5044,8.4874,11.4963,9.7112,12.986,7.7929,9.014,16.5869,12.3591,10.3929,12.5777,10.1258,15.4894,18.8713,14.7263,14.9704,12.529,20.1548,16.7138,19.2176,14.4457,23.4413
197411,-4.7526,-4.0665,-6.0089,-6.5839,-6.9731,-4.6549,-3.9294,-3.605,-6.5792,-6.9865,-1.4655,-2.2625,-3.3728,-3.1149,-9.9737,-0.5972,-1.3535,-4.1464,-3.1731,-5.0586,-4.9438,-4.4206,-4.0704,-5.9633,-4.0623
197412,-7.6839,-6.2003,-7.8847,-8.1047,-9.6984,-6.1781,-4.792,-6.4484,-6.2428,-8.2974,-7.5641,-5.7081,-5.0818,-5.4852,-5.097,-4.7701,-0.8392,-5.9273,-3.7291,-6.7982,-1.1475,-1.8813,-1.072,-3.5949,-4.0292
197501,25.9194,26.9863,26.1262,30.9535,33.2025,25.2761,21.0601,21.5889,28.5553,33.9972,21.3834,21.2926,22.3412,21.8718,29.808,19.6895,11.7608,24.3681,18.5108,26.8108,12.9528,9.3124,8.0839,15.1854,16.1561
197502,6.4637,6.6489,4.4976,3.665,4.2233,5.9595,7.3944,4.411,3.1441,6.3056,8.4766,6.5785,5.7251,5.6245,3.2169,3.3949,5.3836,5.4815,5.5318,5.3431,6.9317,7.8896,8.5364,6.7195,8.1241
197503,8.2036,6.1297,8.5291,9.9652,12.0363,9.7076,5.5453,8.248,7.8668,6.5729,4.2735,6.3956,6.5098,8.557,13.0261,7.6102,6.3988,11.2055,5.9961,13.2883,4.4812,0.1489,2.0482,3.944,7.9988
197504,4.9803,3.8764,4.7242,3.4164,5.1478,5.2759,5.4934,4.7981,3.6964,3.1624,6.0712,4.1535,8.3131,6.5583,3.6861,8.2023,6.1208,6.7209,5.4857,5.8974,8.7634,4.5141,4.2468,3.2915,6.5848
197505,8.5459,8.7168,8.7045,9.8518,8.791,8.4621,10.1155,9.2652,6.5242,9.7531,5.1748,7.0053,6.2734,5.2851,7.4558,3.9074,5.3694,5.1601,5.6796,5.8641,4.7135,3.9908,6.4225,6.0701,6.3368
197506,7.8201,5.7493,8.7674,8.2825,7.8023,7.5635,6.5299,4.3622,7.0878,10.2672,4.2782,4.7715,4.6838,7.1498,7.63,6.995,6.1882,6.7035,8.0177,6.5279,5.0139,3.2739,5.0205,4.9742,3.388
197507,-0.4307,-0.7417,-0.0078,-0.9964,-0.3806,-4.0671,-4.3504,-1.0002,-3.1953,-3.342,-3.4094,-2.3035,-5.031,-5.1143,-5.3901,-3.3473,-6.1071,-6.064,-5.9402,-6.7269,-5.6894,-5.2325,-7.3299,-7.3947,-7.7338
197508,-6.3203,-4.4541,-5.5458,-6.2971,-7.6308,-4.9704,-4.0241,-5.2956,-5.5156,-5.9754,-4.4279,-3.08,-1.8619,-3.5354,-6.2101,-1.3995,-3.5472,-2.673,-3.6016,-4.3974,-0.6143,-1.3582,-0.7126,-1.8141,-2.9038
197509,-4.3498,-2.7446,-2.7773,-2.7895,-3.5506,-3.0398,-3.744,-3.1993,-2.4336,-4.696,-3.0411,-4.4738,-3.5832,-2.9916,-4.9317,-2.6945,-2.4243,-3.7364,-3.8953,-3.8679,-2.6672,-1.1715,-2.8,-5.1578,-5.3479
197510,2.3161,1.7149,2.7482,2.9383,1.4175,2.1283,4.9038,4.5398,3.1958,3.0695,1.9012,5.1631,3.4168,4.7024,2.8542,1.5641,5.0973,7.4046,7.711,6.1524,0.8233,5.9185,7.2822,8.9645,8.3871
197511,2.1778,5.2606,2.4924,2.1831,2.2091,3.0505,3.216,1.2304,4.4104,4.2934,2.0414,3.0988,4.7209,3.5886,3.1085,0.5827,5.1046,2.8028,5.1299,6.0423,-0.5868,3.5406,3.1112,2.6934,3.5828
197512,-1.0269,-1.2998,-1.5328,-0.7451,-1.5067,-2.6325,-0.3918,-0.5299,-0.6794,-2.1512,2.6977,0.6422,-1.9028,-1.198,-1.0992,1.241,-0.7797,-1.2302,-0.4211,-1.6292,0.1666,-0.0511,-2.3244,-1.9539,-2.7022
197601,22.8969,21.0366,21.437,20.4376,23.3311,20.0665,20.0064,16.6862,19.8588,18.8955,17.3268,15.5278,15.2552,18.8686,19.722,13.9692,12.6176,15.7253,18.2457,14.9919,12.7846,10.9101,9.5672,12.2666,13.2477
197602,14.3085,9.8795,9.8453,12.1481,12.6788,9.5334,5.8114,7.5421,7.3823,11.323,6.2505,4.6226,4.3335,6.4985,8.6705,3.518,1.9027,2.7142,2.5029,6.2079,-0.7995,0.0716,-2.2814,-1.3261,-3.2516
197603,1.1006,1.8032,1.0478,1.9057,2.7983,0.8309,0.5197,1.4065,1.909,0.3549,1.2659,1.4198,1.1901,1.3691,1.7771,2.4135,0.6666,1.4523,1.3019,1.992,2.6591,2.5024,4.9603,1.9384,3.1309
197604,-1.4912,-0.2194,-1.5931,-1.2461,-2.2673,-1.1042,-0.8261,-0.6771,-2.2515,-1.7104,0.8854,0.6625,-1.5289,-2.2266,-1.0966,-0.7436,-0.8876,-1.7029,-2.3517,-0.5381,-0.1394,0.1943,-1.4895,-1.6444,-1.7237
197605,-3.0189,-2.8563,-3.2103,-2.8946,-3.1245,-0.874,-1.5797,-2.9695,-2.8546,-2.2558,0.3975,-2.4868,-2.324,-1.8915,-2.9627,-0.2889,-0.5298,-4.538,0.2324,-0.6637,-0.2963,0.2502,-0.9627,-1.02,-1.528
197606,3.1037,1.7706,2.0346,2.6228,3.6899,2.3819,3.3173,2.5216,4.5896,4.8195,7.6961,4.1051,5.2979,6.4404,5.8807,6.4555,5.171,4.7477,5.7682,5.0218,6.2401,4.5893,3.3544,4.5501,2.6827
197607,-0.2667,0.2283,0.4584,0.8031,-0.8603,0.8837,1.1111,-0.0804,-0.0163,0.0204,-0.9204,-0.9083,1.3641,-0.2655,-1.0082,1.9637,-1.472,-1.5451,0.3702,-1.1406,-0.7059,0.3281,-0.9472,-1.0381,-2.9459
197608,-2.778,-2.6855,0.0699,-1.468,-2.0938,-3.0044,-1.2334,-2.3033,-1.8403,-4.0244,-2.9725,-0.7438,-1.2887,-1.8638,-2.65,-1.6003,-1.0932,-0.5154,0.7203,-1.9111,-0.8337,0.1715,0.4456,0.9427,0.2333
197609,1.7505,1.2403,2.398,2.363,1.8454,3.0803,1.5492,4.363,3.5252,4.1066,3.2084,2.0743,4.2726,1.4671,3.8212,1.9661,1.8207,3.0589,2.1489,3.3241,0.8253,4.4269,3.2822,2.1221,1.2365
197610,-2.9707,-1.1096,-2.1758,-2.1184,-1.8789,-1.835,-1.4571,-2.6861,-2.3183,-3.5456,-3.1554,-1.5065,-1.1038,-1.4952,-3.5996,-1.8829,-3.7044,-2.2765,-1.403,-2.0518,-3.6228,-2.5654,-2.5117,-1.4733,-2.6133
197611,3.8523,3.2661,2.611,2.5527,2.8274,4.9906,3.349,4.464,4.5558,2.5815,6.3586,3.0192,5.8755,3.8829,3.0405,2.8784,4.0039,3.5465,4.2081,2.1233,0.1825,-1.1597,0.3323,-0.194,-0.2372
197612,9.8712,10.638,11.4965,9.0259,10.1022,10.1058,10.4601,8.8589,7.7766,8.7162,6.0321,7.8122,7.4431,7.224,8.9493,8.6832,7.7496,6.7866,6.3152,7.5398,4.7958,6.7313,4.8281,4.1797,3.9425
197701,4.5647,5.5288,3.9955,4.2099,4.5015,1.9705,4.1475,1.5618,0.5606,1.1862,-1.1607,-0.0372,-0.3912,0.8724,1.1716,-1.8691,-2.8217,-2.8436,-1.7697,-1.5525,-5.8706,-2.96,-3.2852,-5.79,-7.7501
197702,-0.5192,0.0849,-0.8251,-0.7763,0.1518,-0.9544,-0.5017,-1.452,-0.5445,-0.5061,-3.823,-1.5813,-1.9775,-2.5197,-1.8467,-1.8344,-2.2745,-2.248,-1.6594,-3.738,-1.7481,-2.9211,-0.7253,-0.727,-1.8645
197703,-0.2539,0.6709,2.8381,1.2478,0.7062,-0.9627,-1.4019,1.992,0.2654,0.2894,-0.81,-0.3611,1.5572,-0.7404,1.4535,0.2672,0.7653,-0.0633,-0.8477,0.6832,0.0931,-2.718,-0.5274,-1.7428,-1.1388
197704,2.4211,2.197,0.8862,1.6841,1.5225,2.7279,1.9616,2.959,0.6331,0.9237,2.7423,2.769,1.5218,1.3018,-0.495,2.4464,1.6954,1.0278,1.7423,1.5856,1.5574,1.9102,-0.8944,-1.1925,-1.7463
197705,-0.1651,1.0193,1.0568,0.5482,0.3243,1.2833,-1.2532,-0.3828,0.8662,-1.1598,-1.233,-0.3985,0.1243,2.561,0.5378,-0.2917,-0.3384,-1.1336,-0.7992,0.3184,-0.6332,-0.4251,-2.097,-0.8234,-3.5525
197706,6.0937,6.1746,5.9141,6.8909,7.0287,8.3374,8.6581,6.5376,7.5848,6.5247,9.5773,5.6872,7.0997,6.3298,7.0272,4.5128,5.5576,5.5065,4.9547,6.3221,4.3535,4.8931,6.3788,3.7233,2.8703
197707,0.4524,1.3607,1.4673,1.3195,0.8093,-1.3736,-1.0759,0.8159,-0.9125,-0.0641,-2.1716,-0.2325,-1.2949,-0.9437,-0.9825,-3.1878,-1.1755,-2.1645,-1.9969,-2.7267,-2.6056,-1.1163,-0.785,-1.6177,-4.0646
197708,-1.2513,-0.6249,-1.0267,-0.9635,-0.7966,-0.5079,-0.9307,-0.7458,-1.3081,-0.9701,0.4899,0.3715,-0.8776,-0.8848,-1.4188,-0.6204,-2.5608,-2.6218,-2.9318,-1.3697,-2.0899,-0.1823,-2.5109,-1.0449,-0.8111
197709,1.4442,3.3023,1.9959,1.4123,1.2736,0.9365,-0.8127,1.0257,0.8277,0.1058,-0.3504,2.3882,2.3886,1.6826,0.7489,0.5689,-0.3121,1.1213,0.2152,0.2979,-1.0415,-0.3154,0.879,-0.7521,0.1112
197710,-2.2504,-2.4094,-1.2943,-2.0292,-2.8907,-2.3195,-0.8602,-3.1,-3.2457,-3.3723,-3.567,-1.1252,-2.9251,-3.9476,-3.4149,-4.0448,-2.0579,-4.5718,-3.1766,-3.2332,-3.1759,-3.815,-4.039,-4.7051,-4.4258
197711,8.5971,7.4796,8.0164,9.3518,8.2591,9.3967,7.6285,11.7848,9.4063,7.681,7.6537,7.7362,5.6203,7.0511,8.3437,7.8455,6.3977,5.4607,6.8294,7.1555,4.0722,3.3956,2.6453,3.1184,3.3224
197712,3.1261,4.8442,3.9919,1.6105,2.1831,2.0003,2.9581,1.6988,1.4045,-0.0798,1.5993,1.8417,1.7261,0.438,0.4799,2.614,0.1504,0.9719,0.1419,-0.0697,-0.0182,0.4985,1.5348,0.3128,-0.2721
197801,-1.1682,0.7864,-1.4546,-2.0652,-2.4058,-4.3466,-2.8147,-4.2454,-4.7246,-3.8881,-5.975,-4.8115,-3.7087,-4.7224,-4.4979,-6.0608,-6.0123,-4.1704,-5.3768,-5.2626,-6.8181,-5.8297,-5.7555,-5.7229,-6.6227
197802,4.1019,3.466,3.2751,2.7101,3.4844,2.6938,1.2913,2.0358,1.0607,1.1335,3.1281,1.9106,-0.7476,2.0923,0.0968,-2.0896,-0.3574,-1.1723,-0.1206,-1.6835,-0.7121,-2.3144,-0.0542,-3.1984,-2.0406
197803,9.3254,9.291,6.7865,6.2024,7.795,5.952,6.7819,8.0364,6.6011,7.4231,8.5736,5.3268,4.4951,6.4454,3.6599,6.2695,5.603,3.4022,4.2312,4.3172,3.7111,0.1415,2.7764,3.2029,2.8068
197804,7.151,8.8442,8.3245,9.1823,8.8576,9.1573,8.4363,7.0667,7.3866,8.0964,10.3239,8.0248,5.1346,8.5141,7.7867,10.0566,6.3824,4.3857,7.7752,7.9766,10.2343,10.6001,6.3043,8.8414,9.0649
197805,8.853,7.8195,6.0693,6.2921,8.3693,6.8414,5.8587,8.8348,5.8684,6.6998,7.8646,4.7896,3.3052,5.4273,5.4347,4.5102,3.4967,2.6824,4.2268,4.5116,3.8705,-0.6687,0.8676,2.651,1.072
197806,0.1719,0.6538,0.5229,0.0911,0.6946,-0.5078,-1.5575,2.3255,0.0016,-0.6077,-1.4917,0.664,0.037,0.1229,-0.6649,1.6989,-0.8557,-0.4468,-0.9787,-2.0039,-0.4567,-1.9652,-2.0745,-1.7459,-1.0609
197807,5.6487,4.7161,5.1415,5.7338,5.7237,5.8722,7.6571,7.2288,5.3471,7.5377,8.9649,4.7273,3.8044,4.0456,6.1676,6.5488,7.6205,6.1897,5.5924,7.675,6.2736,4.8702,6.665,5.341,5.3751
197808,9.5474,8.4285,9.1221,7.8892,10.1867,8.5532,9.0256,7.9205,9.228,9.8287,8.9679,6.8908,4.4955,6.4654,11.1239,6.1856,3.9812,5.9538,3.2484,8.2786,2.1806,3.7052,2.9674,2.1769,1.5725
197809,0.0281,-0.3879,0.547,-0.3194,-0.9766,-0.5431,-0.5361,-0.7896,-1.5488,-3.0482,-1.4583,-1.0745,-1.5868,-2.1641,-1.868,-0.8108,-0.5123,-2.0668,-1.1137,-3.1497,-2.5357,-0.046,-1.2864,-0.5912,0.3239
197810,-24.0134,-20.0556,-20.9341,-21.5121,-24.0497,-21.329,-22.5908,-18.0472,-21.5965,-22.3124,-22.2143,-15.842,-15.9159,-16.2017,-20.6116,-16.0105,-12.3695,-12.4869,-13.1691,-16.6627,-11.2278,-7.2338,-8.374,-9.3186,-8.9137
197811,7.3495,5.0055,5.1337,5.4235,7.0946,6.5592,6.9578,6.4922,7.478,8.0901,7.7155,4.3869,4.1002,4.1833,7.2878,4.5377,4.0622,2.2213,3.2631,3.1891,4.7416,2.9841,3.397,2.2326,3.7143
197812,3.6126,2.615,0.5497,2.0195,1.2563,0.5773,3.1094,2.684,2.783,2.9302,1.3623,0.2272,0.958,1.9114,4.1514,1.4386,1.048,0.793,0.1996,1.1318,1.3868,2.1475,1.4048,2.1123,-0.2074
197901,9.9589,10.7283,10.7647,9.7057,10.8132,10.7139,7.5881,9.22,8.987,8.2684,8.708,8.026,7.7228,8.4295,6.5579,5.7887,5.0842,6.4913,6.7364,7.9253,4.4151,3.5271,4.1621,3.5089,5.2591
197902,-2.8243,-0.8965,-1.7765,-1.7745,-3.4429,-3.2847,-0.6443,-2.867,-3.0474,-3.2939,-0.5942,-2.1764,-3.3875,-3.1776,-4.2691,-3.4522,-3.7618,-3.6345,-2.334,-4.864,-3.7195,-1.8316,-4.1742,-3.0885,-3.1541
197903,8.5657,9.6422,7.3322,9.7007,9.5155,9.1261,11.0679,7.8979,9.6544,10.8002,10.2682,7.3599,10.1852,8.4046,13.1026,8.0344,7.243,6.7519,7.5671,9.106,5.4876,4.7513,6.253,5.7046,5.2388
197904,3.6085,2.2758,4.1369,3.3316,2.3764,1.6909,2.3516,3.3293,2.6521,1.9067,0.5801,0.5883,2.9024,3.9029,1.9974,1.2398,2.0708,0.8905,0.0702,2.7055,-1.2853,-0.2122,0.4243,0.6525,1.8107
197905,-2.2608,-2.0286,-0.8198,-0.6712,2.0499,-0.815,-0.9005,-0.4233,-2.0096,-2.4297,-1.4366,-1.5855,-1.5937,-1.7023,-3.1413,-0.5768,-0.936,-1.3892,-0.7618,-1.9319,-1.7622,-1.8045,-1.3553,-2.1463,-1.1665
197906,6.3744,6.3978,5.2963,4.3339,4.5611,8.7259,5.9741,6.1354,5.8289,5.1202,4.4956,4.5442,3.1464,5.6861,7.0475,7.2491,5.2516,5.0338,5.4701,4.8254,4.1434,2.6389,5.0075,3.6954,5.3055
197907,2.7022,3.1412,3.2848,2.4995,2.1846,3.8591,3.9571,2.4339,2.7283,2.2351,3.4891,3.2764,3.834,2.4678,3.2051,4.0652,3.1084,1.5053,1.9963,1.2337,2.2093,1.4636,0.4369,-0.4554,0.6171
197908,8.7109,6.2423,5.9534,8.8816,8.5726,8.1063,7.211,7.3228,8.2447,9.2603,6.2645,6.6988,8.705,7.0122,7.8194,6.2658,5.7393,6.9859,8.1533,9.2477,7.3028,4.4076,6.8051,5.8996,7.2623
197909,0.2408,0.1003,0.8819,-0.2505,-1.755,-1.0777,-1.1053,-0.1955,-0.2435,0.7672,-1.395,-1.3333,-0.7847,1.4005,0.0591,-1.4305,0.1727,-1.1314,0.4904,0.5736,3.5492,1.1348,-1.5972,-1.8404,-0.9757
197910,-10.7007,-9.7586,-9.4821,-9.9443,-11.1144,-11.2315,-9.8415,-10.3989,-10.732,-9.4492,-9.853,-8.6025,-8.1389,-8.8336,-8.2867,-8.8422,-9.2908,-7.8163,-7.5799,-8.0919,-4.6534,-4.5806,-6.7035,-7.6737,-7.511
197911,6.7931,7.2309,7.5662,9.0005,8.5438,8.9885,9.0387,8.8867,6.2261,11.8141,9.8133,7.6253,7.0047,7.7486,10.2294,4.2306,6.2797,8.5537,7.2607,12.0708,8.424,3.2167,4.7437,6.7093,5.3036
197912,8.3903,7.0664,8.7873,8.4216,8.374,8.2827,7.0952,7.3597,5.8282,6.0754,6.9026,2.568,4.7047,3.7655,5.2811,3.408,3.4539,4.2049,3.5356,4.7539,4.1426,-0.5976,2.4811,2.2064,1.9418
198001,10.9748,11.1587,9.343,10.5691,11.7285,9.0183,7.2496,7.0606,5.2467,8.6418,6.0276,6.3099,6.7926,8.2203,7.3816,7.7534,4.7793,8.4012,4.0883,9.1673,12.716,5.8976,2.3056,5.8077,0.3603
198002,-0.2191,-0.8565,-1.2205,-0.6566,-1.2486,-1.3991,-2.1241,-1.6723,-1.6809,-0.5139,-2.166,-2.057,-2.2262,-1.6789,-2.7873,-4.7225,-1.8243,-1.6633,-2.1266,0.8652,5.0597,4.5009,-4.0991,-3.7,-3.6487
